index,date,open,high,low,close,volume
286,"2020/01/27, 19:00:00",1.06887,1.06914,1.0679,1.0682,1e+100
287,"2020/01/27, 23:00:00",1.0682,1.0696,1.06803,1.06931,1e+100
288,"2020/01/28, 03:00:00",1.06931,1.06977,1.06908,1.06972,1e+100
289,"2020/01/28, 07:00:00",1.06972,1.06995,1.06653,1.06733,1e+100
290,"2020/01/28, 11:00:00",1.06733,1.07131,1.06723,1.07078,1e+100
291,"2020/01/28, 15:00:00",1.07078,1.07226,1.0697,1.07173,1e+100
292,"2020/01/28, 19:00:00",1.07173,1.0727,1.07153,1.07248,1e+100
293,"2020/01/28, 23:00:00",1.07248,1.07316,1.07217,1.07301,1e+100
294,"2020/01/29, 03:00:00",1.07301,1.07322,1.07272,1.07274,1e+100
295,"2020/01/29, 07:00:00",1.07274,1.07297,1.07104,1.07252,1e+100
296,"2020/01/29, 11:00:00",1.07252,1.0732,1.07194,1.07304,1e+100
297,"2020/01/29, 15:00:00",1.07304,1.07379,1.07215,1.07268,1e+100
298,"2020/01/29, 19:00:00",1.07268,1.07273,1.07157,1.07189,1e+100
299,"2020/01/29, 23:00:00",1.07189,1.0723,1.07125,1.07132,1e+100
300,"2020/01/30, 03:00:00",1.07132,1.07144,1.07049,1.0707,1e+100
301,"2020/01/30, 07:00:00",1.0707,1.07094,1.06905,1.06958,1e+100
302,"2020/01/30, 11:00:00",1.06958,1.07031,1.06862,1.06895,1e+100
303,"2020/01/30, 15:00:00",1.06895,1.0702,1.06812,1.06886,1e+100
304,"2020/01/30, 19:00:00",1.06886,1.07026,1.06868,1.06953,1e+100
305,"2020/01/30, 23:00:00",1.06953,1.07047,1.06906,1.06967,1e+100
306,"2020/01/31, 03:00:00",1.06967,1.07025,1.06953,1.07007,1e+100
307,"2020/01/31, 07:00:00",1.07007,1.07063,1.0696,1.07002,1e+100
308,"2020/01/31, 11:00:00",1.07002,1.0703,1.06848,1.0686,1e+100
309,"2020/01/31, 15:00:00",1.0686,1.06941,1.06768,1.06832,1e+100
